location,bhk,washroom,total_sqft,furnishing,age,price,rent
Narela,3,3,1031,Semi Furnished,1-5 years,59.56,57955.87
Saket nagar,2,2,886,Fully Furnished,New,39.07,33966.12
Vijay nagar,5,4,2279,Fully Furnished,5-10 years,108.79,108945.48
char Imli,3,3,1587,Unfurnished,1-5 years,102.23,96906.45
char Imli,1,1,702,Unfurnished,New,43.08,50484.33
Tajul masjid,5,4,2836,Unfurnished,5-10 years,143.56,157124.28
Ratnagiri,1,1,629,Fully Furnished,1-5 years,39.02,41466.02
Govindpura,4,3,1525,Fully Furnished,10+ years,68.44,71170.48
Gulmohar,5,4,2824,Semi Furnished,1-5 years,186.44,165087.07
Ayodhya bypass,1,1,729,Fully Furnished,1-5 years,30.59,32792.89
Minal,1,1,721,Unfurnished,5-10 years,47.16,38776.08
Arjun Nagar,3,3,1026,Fully Furnished,New,71.59,77034.39
Karond,2,2,884,Fully Furnished,New,52.89,56843.44
Bawadiya Kalan,3,3,1145,Unfurnished,10+ years,67.91,62179.78
Arjun Nagar,1,1,424,Semi Furnished,1-5 years,19.82,19271.98
Avadhpuri,1,1,431,Unfurnished,New,22.51,23184.07
Ayodhya bypass,3,3,1502,Unfurnished,1-5 years,84.35,74831.98
Gandhi nagar,4,3,1641,Unfurnished,10+ years,106.24,125729.58
chuna bhatti,2,2,743,Unfurnished,New,46.82,37954.19
Karond,1,1,696,Unfurnished,New,30.97,31392.78
Service road,1,1,540,Unfurnished,10+ years,25.0,21271.87
Arera Colony,1,1,556,Semi Furnished,1-5 years,26.81,24009.06
Habibganj,5,4,2994,Semi Furnished,1-5 years,158.39,159290.13
kohefiza,2,2,1009,Unfurnished,5-10 years,55.98,45976.99
Lalghati,4,3,1453,Unfurnished,5-10 years,60.13,62581.64
ibrahimpura,2,2,993,Unfurnished,1-5 years,44.72,50574.65
Saket nagar,2,2,841,Unfurnished,1-5 years,42.65,50058.2
Gulmohar,1,1,638,Fully Furnished,1-5 years,39.6,47023.22
VIP road,1,1,584,Semi Furnished,5-10 years,29.78,28079.79
Anand nagar,4,3,1999,Unfurnished,5-10 years,136.53,123104.07
sultaniya road,3,3,1225,Fully Furnished,New,75.98,74078.0
Bawadiya Kalan,1,1,722,Unfurnished,New,46.34,43626.23
Gandhi nagar,3,3,1031,Unfurnished,5-10 years,64.25,69207.2
Kolar hills,2,2,1067,Semi Furnished,1-5 years,58.6,64225.47
Bittan Market,5,4,2972,Semi Furnished,New,135.72,133268.1
Kamla Nagar,3,3,1102,Fully Furnished,5-10 years,61.42,62882.3
Lalghati,4,3,1904,Fully Furnished,10+ years,128.01,148727.1
Gandhi nagar,2,2,997,Semi Furnished,New,44.47,36211.78
Bawadiya Kalan,1,1,468,Semi Furnished,New,31.64,26389.21
Service road,4,3,1707,Semi Furnished,5-10 years,71.46,74168.42
char Imli,2,2,1158,Fully Furnished,1-5 years,67.98,78728.2
Ashoka garden,5,4,2625,Fully Furnished,New,110.06,100613.61
Bairagarh,1,1,669,Fully Furnished,10+ years,33.66,31381.43
chuna bhatti,2,2,795,Semi Furnished,10+ years,44.47,38221.96
Tajul masjid,4,3,1657,Fully Furnished,1-5 years,104.41,124411.37
Kamla Nagar,3,3,1369,Semi Furnished,New,79.28,93028.01
Bittan Market,5,4,2215,Unfurnished,5-10 years,113.15,133100.37
MP Nagar,2,2,1088,Fully Furnished,10+ years,74.62,60672.02
Ayodhya nagar,1,1,739,Semi Furnished,New,33.61,31595.71
Ashoka garden,2,2,1072,Unfurnished,5-10 years,43.77,40758.46
Arjun Nagar,3,3,1035,Semi Furnished,New,62.58,63667.26
Kolar Road,2,2,978,Semi Furnished,1-5 years,64.75,68148.57
Shivaji Nagar,3,3,1573,Semi Furnished,5-10 years,78.55,70422.25
Kolar Road,2,2,895,Semi Furnished,5-10 years,40.04,34185.62
Tajul masjid,2,2,910,Unfurnished,New,60.1,68410.19
Anand nagar,3,3,1599,Fully Furnished,10+ years,65.22,71518.24
Shyamla Hills,5,4,2380,Unfurnished,5-10 years,135.79,154486.96
char Imli,4,3,1702,Fully Furnished,1-5 years,91.33,98256.45
Bawadiya Kalan,1,1,743,Semi Furnished,1-5 years,35.21,39326.32
VIP road,1,1,672,Semi Furnished,New,32.51,26851.53
Kolar Road,2,2,711,Semi Furnished,New,40.43,37959.58
Shyamla Hills,5,4,2549,Fully Furnished,New,176.58,198370.76
Tajul masjid,1,1,679,Unfurnished,5-10 years,37.27,30330.49
chuna bhatti,2,2,873,Semi Furnished,5-10 years,40.64,34062.85
Karond,2,2,754,Unfurnished,5-10 years,49.61,40694.19
Shivaji Nagar,3,3,1420,Unfurnished,New,68.68,59459.9
Chuna Bhatti,4,3,1767,Unfurnished,1-5 years,108.29,98580.29
Ashoka garden,5,4,2548,Fully Furnished,1-5 years,108.62,103977.57
Nizamuddin colony,1,1,695,Semi Furnished,5-10 years,45.95,46361.62
Shyamla Hills,3,3,1490,Fully Furnished,New,84.94,91003.39
jahangirabad,5,4,2468,Fully Furnished,1-5 years,165.08,167668.88
Lalghati,3,3,1038,Semi Furnished,1-5 years,60.66,69017.86
Hoshangabad Road,2,2,936,Semi Furnished,10+ years,49.07,52795.77
Gulmohar,1,1,670,Fully Furnished,10+ years,27.27,25535.79
Shyamla Hills,5,4,2758,Unfurnished,1-5 years,118.5,140358.84
Anand nagar,2,2,1069,Fully Furnished,New,43.78,35144.05
Vijay nagar,5,4,2761,Fully Furnished,1-5 years,171.66,204587.03
Saket nagar,1,1,729,Unfurnished,1-5 years,36.27,29022.89
Ratnagiri,1,1,453,Semi Furnished,1-5 years,30.76,32877.19
Shivaji Nagar,3,3,1210,Semi Furnished,5-10 years,67.75,57524.75
Shanti Nagar,4,3,1759,Unfurnished,1-5 years,115.63,115844.04
Shyamla Hills,1,1,512,Semi Furnished,1-5 years,23.69,23405.75
Shanti Nagar,2,2,724,Fully Furnished,10+ years,41.96,37313.19
Vijay nagar,4,3,1779,Fully Furnished,New,104.41,101726.24
kohefiza,5,4,2187,Semi Furnished,10+ years,120.62,111472.33
Barkheda,5,4,2159,Semi Furnished,5-10 years,106.35,107992.77
Misrod,2,2,858,Unfurnished,1-5 years,36.57,33519.98
kohefiza,2,2,1048,Fully Furnished,1-5 years,69.96,78229.02
Bawadiya Kalan,5,4,2482,Semi Furnished,5-10 years,147.5,149114.39
Shyamla Hills,2,2,1086,Semi Furnished,5-10 years,56.05,55207.14
Narela,1,1,420,Semi Furnished,10+ years,25.89,22182.59
Vikas Nagar,1,1,710,Unfurnished,New,45.19,45915.99
Gandhi nagar,4,3,1481,Unfurnished,10+ years,101.6,107978.74
jahangirabad,4,3,1755,Unfurnished,1-5 years,116.64,116202.37
VIP road,4,3,2003,Semi Furnished,10+ years,80.67,77759.69
Piplani,5,4,2607,Unfurnished,10+ years,162.17,176113.07
Vikas Nagar,3,3,1322,Fully Furnished,5-10 years,81.62,65998.6
Ratnagiri,4,3,1520,Semi Furnished,1-5 years,92.8,103987.33
Hoshangabad Road,4,3,1666,Fully Furnished,5-10 years,100.19,82260.87
Lalghati,5,4,2244,Unfurnished,5-10 years,121.24,130564.46
Gandhi nagar,4,3,2044,Semi Furnished,1-5 years,120.41,125607.65
Arera Colony,5,4,2424,Unfurnished,New,152.2,144764.89
Indrapuri,3,3,1196,Unfurnished,5-10 years,70.54,56674.95
Kamla Nagar,3,3,1258,Unfurnished,New,74.08,85477.52
Shivaji Nagar,2,2,1006,Semi Furnished,New,56.25,52808.47
VIP road,5,4,2586,Fully Furnished,New,166.8,164217.8
sultaniya road,1,1,410,Semi Furnished,New,21.2,21902.97
Tajul masjid,4,3,1983,Semi Furnished,10+ years,104.16,117034.49
Ashoka garden,3,3,1020,Semi Furnished,10+ years,60.28,57018.35
Vikas Nagar,5,4,2755,Semi Furnished,1-5 years,188.3,202350.41
Anand nagar,3,3,1067,Unfurnished,5-10 years,47.37,44764.72
Ayodhya bypass,2,2,1057,Unfurnished,New,55.1,60773.7
Barkheda,3,3,1359,Unfurnished,New,92.55,89420.9
Kolar Road,5,4,2913,Fully Furnished,1-5 years,164.99,155789.56
Kolar Road,2,2,1015,Semi Furnished,5-10 years,52.84,49487.65
ibrahimpura,2,2,905,Semi Furnished,1-5 years,37.94,35063.34
Indrapuri,4,3,1429,Semi Furnished,1-5 years,61.82,55107.4
Ratnagiri,4,3,1766,Unfurnished,1-5 years,112.06,126515.15
Arjun Nagar,1,1,469,Unfurnished,1-5 years,27.74,24326.72
Ayodhya nagar,4,3,1447,Fully Furnished,5-10 years,92.36,77739.32
Arera Colony,1,1,612,Fully Furnished,10+ years,40.94,44981.29
MP Nagar,3,3,1301,Semi Furnished,1-5 years,57.75,53743.96
ibrahimpura,5,4,2611,Semi Furnished,New,166.46,190469.97
Nizamuddin colony,5,4,2422,Fully Furnished,10+ years,162.77,143108.53
Kamla Nagar,3,3,1143,Semi Furnished,5-10 years,53.01,52774.57
Tajul masjid,5,4,2283,Unfurnished,New,143.98,116709.66
ibrahimpura,4,3,1455,Fully Furnished,10+ years,83.52,93038.73
Kamla Nagar,5,4,2969,Unfurnished,10+ years,149.85,148987.35
char Imli,1,1,514,Fully Furnished,5-10 years,28.89,32244.79
char Imli,1,1,743,Semi Furnished,1-5 years,47.38,51087.01
Saket nagar,4,3,1871,Fully Furnished,10+ years,106.71,115689.82
sultaniya road,2,2,843,Unfurnished,1-5 years,34.31,39629.07
kohefiza,3,3,1572,Fully Furnished,5-10 years,109.75,103095.61
Chuna Bhatti,1,1,648,Unfurnished,10+ years,27.52,30711.5
Govindpura,4,3,1599,Unfurnished,New,69.57,69221.1
Saket nagar,1,1,751,Unfurnished,New,40.4,46858.43
Arjun Nagar,4,3,1616,Unfurnished,10+ years,78.82,92674.8
Service road,4,3,1691,Unfurnished,10+ years,91.15,97675.2
Indrapuri,3,3,1216,Unfurnished,10+ years,72.87,86749.94
Kolar hills,3,3,1481,Unfurnished,1-5 years,82.06,82896.74
sultaniya road,1,1,737,Semi Furnished,10+ years,49.77,40097.27
Roshanpura,2,2,1020,Fully Furnished,1-5 years,41.49,47247.7
Kolar hills,2,2,1043,Semi Furnished,5-10 years,53.82,58731.36
Minal,4,3,2183,Unfurnished,10+ years,97.58,101823.24
Kolar Road,2,2,1036,Unfurnished,New,64.74,68823.82
Kolar Road,1,1,557,Unfurnished,10+ years,28.87,30745.76
Service road,3,3,1053,Unfurnished,10+ years,45.2,40767.99
Bairagarh,5,4,2103,Semi Furnished,10+ years,139.9,118624.65
Kolar hills,4,3,1848,Fully Furnished,5-10 years,114.58,120773.08
char Imli,1,1,467,Unfurnished,5-10 years,30.77,29215.74
Service road,2,2,813,Unfurnished,5-10 years,34.12,37856.62
Anand nagar,5,4,2092,Semi Furnished,10+ years,134.28,141486.65
Kolar Road,3,3,1430,Semi Furnished,New,98.8,97468.99
Ayodhya bypass,2,2,993,Fully Furnished,1-5 years,49.75,51338.61
Minal,3,3,1318,Unfurnished,1-5 years,78.35,92782.43
char Imli,3,3,1226,Unfurnished,New,50.31,51358.07
Karond,4,3,2187,Semi Furnished,5-10 years,132.23,142239.41
Indrapuri,3,3,1138,Fully Furnished,10+ years,56.9,61879.92
Kolar hills,4,3,2087,Fully Furnished,5-10 years,123.23,121824.71
Shanti Nagar,2,2,712,Unfurnished,New,38.36,35981.11
Ayodhya bypass,1,1,720,Unfurnished,10+ years,36.22,41234.52
Kolar Road,5,4,2201,Unfurnished,5-10 years,97.91,95261.52
kohefiza,1,1,610,Fully Furnished,5-10 years,28.69,28415.71
sultaniya road,5,4,2785,Fully Furnished,5-10 years,141.83,168306.62
Karond,3,3,1416,Unfurnished,1-5 years,60.31,59995.08
Anand nagar,4,3,2092,Fully Furnished,5-10 years,119.63,140365.0
Vijay nagar,1,1,708,Semi Furnished,New,36.9,44224.02
sultaniya road,3,3,1538,Semi Furnished,5-10 years,97.21,100082.81
Saket nagar,1,1,439,Fully Furnished,New,18.83,19171.27
Nizamuddin colony,3,3,1555,Unfurnished,New,73.2,61471.75
Bawadiya Kalan,3,3,1328,Fully Furnished,10+ years,53.7,60769.99
Kolar hills,2,2,724,Fully Furnished,10+ years,42.85,39316.45
Nizamuddin colony,2,2,1174,Semi Furnished,10+ years,76.35,88908.95
New market,1,1,678,Unfurnished,New,41.48,48871.74
Misrod,1,1,473,Fully Furnished,New,27.57,31297.31
Hoshangabad Road,1,1,797,Unfurnished,5-10 years,47.29,47083.26
Kolar hills,1,1,452,Semi Furnished,10+ years,29.68,30862.22
MP Nagar,3,3,1597,Unfurnished,5-10 years,87.12,82537.69
Ayodhya bypass,1,1,607,Fully Furnished,1-5 years,39.73,32010.25
MP Nagar,1,1,680,Unfurnished,10+ years,27.77,27467.86
sultaniya road,4,3,1611,Semi Furnished,5-10 years,68.19,55794.29
Ayodhya bypass,4,3,1957,Unfurnished,New,89.37,87157.19
MP Nagar,1,1,716,Fully Furnished,New,38.04,39423.62
Tajul masjid,1,1,573,Semi Furnished,1-5 years,37.35,44440.08
kohefiza,3,3,1531,Unfurnished,New,87.74,86401.81
Bawadiya Kalan,4,3,1925,Fully Furnished,5-10 years,132.29,108128.72
Barkheda,1,1,749,Semi Furnished,10+ years,41.4,46018.46
Saket nagar,4,3,2188,Unfurnished,New,99.34,85051.97
sultaniya road,4,3,1970,Unfurnished,New,125.22,114323.75
Bittan Market,1,1,788,Semi Furnished,10+ years,38.6,41082.81
Karond,4,3,1740,Fully Furnished,10+ years,107.58,111445.19
Kamla Nagar,2,2,1125,Semi Furnished,5-10 years,76.25,68956.55
Karond,2,2,931,Fully Furnished,10+ years,64.69,57885.41
Lalghati,5,4,2162,Unfurnished,10+ years,132.92,147584.08
Tajul masjid,3,3,1234,Unfurnished,New,78.32,84902.87
Saket nagar,4,3,2163,Unfurnished,10+ years,129.82,150701.28
Narela,2,2,863,Fully Furnished,New,41.96,43693.67
Arjun Nagar,2,2,1152,Unfurnished,10+ years,48.99,45614.29
Anand nagar,5,4,2442,Unfurnished,New,139.68,139942.03
Anand nagar,5,4,2076,Semi Furnished,New,126.46,113152.43
Bittan Market,4,3,1495,Unfurnished,New,78.34,85307.96
Nizamuddin colony,4,3,1594,Unfurnished,5-10 years,68.19,55656.4
Nizamuddin colony,1,1,450,Semi Furnished,5-10 years,29.92,33522.98
Ayodhya nagar,2,2,734,Semi Furnished,5-10 years,41.18,35946.38
Avadhpuri,2,2,1012,Semi Furnished,5-10 years,53.61,46117.49
MP Nagar,2,2,777,Fully Furnished,New,35.63,39764.77
eidgah hills,1,1,528,Fully Furnished,1-5 years,27.63,31412.01
Indrapuri,3,3,1551,Semi Furnished,1-5 years,63.92,72383.13
Bittan Market,5,4,2456,Semi Furnished,New,149.45,164979.92
Piplani,3,3,1077,Semi Furnished,New,46.09,44411.97
Bairagarh,5,4,2753,Fully Furnished,New,153.31,131757.52
Kamla Nagar,5,4,2621,Unfurnished,10+ years,173.19,161157.03
Shyamla Hills,1,1,548,Fully Furnished,1-5 years,36.75,36168.98
jahangirabad,1,1,800,Unfurnished,5-10 years,33.01,38825.17
Kolar Road,3,3,1358,Semi Furnished,1-5 years,77.62,80746.66
Bawadiya Kalan,3,3,1390,Fully Furnished,1-5 years,91.41,102336.08
Avadhpuri,5,4,2925,Fully Furnished,1-5 years,138.21,130855.05
Ayodhya bypass,4,3,1829,Semi Furnished,New,113.2,95724.31
Shyamla Hills,4,3,2189,Fully Furnished,New,105.96,103764.81
Kolar hills,4,3,1452,Semi Furnished,1-5 years,72.39,63799.47
Shyamla Hills,3,3,1350,Unfurnished,1-5 years,87.65,95669.5
Karond,3,3,1593,Fully Furnished,New,83.36,66779.56
Shivaji Nagar,4,3,1421,Unfurnished,New,81.79,92645.6
Govindpura,5,4,2205,Unfurnished,1-5 years,103.46,122706.23
Kolar hills,4,3,1865,Semi Furnished,New,104.85,94596.08
New market,1,1,566,Unfurnished,New,29.94,34681.57
VIP road,4,3,1430,Semi Furnished,5-10 years,77.93,63444.64
Hoshangabad Road,2,2,754,Fully Furnished,New,52.32,51243.23
Shanti Nagar,1,1,528,Unfurnished,10+ years,34.25,37367.66
Ashoka garden,4,3,2158,Unfurnished,1-5 years,87.12,93881.62
Hoshangabad Road,2,2,700,Unfurnished,10+ years,36.69,36854.63
Anand nagar,2,2,1154,Fully Furnished,5-10 years,57.03,58146.52
Vijay nagar,2,2,989,Unfurnished,10+ years,54.16,45869.04
Misrod,4,3,1505,Semi Furnished,10+ years,78.69,90091.7
Shivaji Nagar,1,1,690,Unfurnished,10+ years,37.89,35965.71
Piplani,2,2,775,Unfurnished,10+ years,53.75,45162.3
Vikas Nagar,5,4,2749,Unfurnished,New,162.05,138942.28
Gandhi nagar,3,3,1218,Semi Furnished,5-10 years,76.83,89571.11
Saket nagar,1,1,427,Unfurnished,New,26.32,29579.17
Hoshangabad Road,5,4,2593,Fully Furnished,5-10 years,117.1,131157.37
Govindpura,3,3,1492,Unfurnished,1-5 years,81.55,88595.13
Narela,1,1,484,Unfurnished,1-5 years,33.09,32386.44
Habibganj,1,1,701,Unfurnished,5-10 years,39.59,38702.54
MP Nagar,2,2,793,Unfurnished,1-5 years,52.47,46506.3
Bittan Market,4,3,1901,Unfurnished,5-10 years,85.62,78858.06
Ayodhya bypass,3,3,1456,Semi Furnished,1-5 years,90.81,76987.4
Arera Colony,3,3,1016,Semi Furnished,New,44.79,41831.87
Shyamla Hills,2,2,947,Semi Furnished,New,52.42,58199.07
New market,5,4,2713,Semi Furnished,10+ years,174.04,201962.67
Ratnagiri,4,3,2071,Fully Furnished,1-5 years,109.59,107958.16
MP Nagar,3,3,1109,Fully Furnished,5-10 years,57.76,59695.16
Karond,4,3,1415,Semi Furnished,5-10 years,64.05,69467.95
Ayodhya bypass,1,1,482,Fully Furnished,5-10 years,23.62,24882.35
Ayodhya nagar,5,4,2152,Semi Furnished,5-10 years,103.65,99627.68
Shivaji Nagar,2,2,887,Fully Furnished,5-10 years,58.93,65369.47
Ayodhya nagar,2,2,911,Semi Furnished,New,54.72,54893.19
Arera Colony,1,1,791,Unfurnished,New,41.45,42238.39
Arera Colony,4,3,1575,Fully Furnished,5-10 years,92.94,89388.06
Bairagarh,1,1,596,Unfurnished,10+ years,24.18,25331.79
Minal,4,3,2168,Unfurnished,5-10 years,143.75,124788.18
Hoshangabad Road,5,4,2375,Unfurnished,1-5 years,129.37,129880.66
Ayodhya nagar,5,4,2610,Semi Furnished,New,180.73,146642.57
Arjun Nagar,1,1,782,Semi Furnished,New,54.57,46431.9
chuna bhatti,3,3,1303,Unfurnished,5-10 years,62.74,66287.19
Avadhpuri,4,3,1643,Fully Furnished,1-5 years,110.41,130328.1
Anand nagar,4,3,1820,Unfurnished,New,111.3,104589.81
jahangirabad,1,1,566,Fully Furnished,10+ years,25.22,28752.88
Sonagiri,3,3,1217,Fully Furnished,5-10 years,54.08,52087.25
Ayodhya bypass,1,1,745,Unfurnished,New,45.85,37994.42
Service road,3,3,1339,Semi Furnished,New,87.33,97659.33
Shyamla Hills,2,2,752,Unfurnished,5-10 years,50.03,50698.0
Gandhi nagar,4,3,2072,Fully Furnished,New,85.38,88623.94
Indrapuri,2,2,853,Fully Furnished,10+ years,53.99,61170.95
Ratnagiri,2,2,1181,Fully Furnished,5-10 years,69.11,58788.16
Habibganj,5,4,2159,Unfurnished,5-10 years,87.73,80314.87
Piplani,2,2,845,Unfurnished,1-5 years,57.03,46236.31
Nizamuddin colony,3,3,1050,Semi Furnished,1-5 years,65.33,54155.03
Hoshangabad Road,2,2,748,Unfurnished,1-5 years,37.46,41084.74
Chuna Bhatti,5,4,2426,Fully Furnished,New,147.47,143991.18
Service road,4,3,2148,Unfurnished,New,105.59,109344.24
Hoshangabad Road,1,1,461,Semi Furnished,New,28.6,23626.14
Ayodhya nagar,3,3,1200,Unfurnished,10+ years,62.5,51490.87
Service road,5,4,2844,Unfurnished,New,126.98,139516.27
ibrahimpura,4,3,1803,Fully Furnished,1-5 years,81.28,68311.58
Saket nagar,2,2,997,Semi Furnished,10+ years,41.47,37826.86
Govindpura,1,1,416,Unfurnished,New,22.13,20163.1
Piplani,3,3,1484,Unfurnished,1-5 years,71.14,64819.55
Bawadiya Kalan,2,2,723,Fully Furnished,New,43.57,42063.66
Bittan Market,4,3,1960,Semi Furnished,10+ years,123.54,124388.56
Minal,5,4,2190,Semi Furnished,1-5 years,134.66,112527.29
Piplani,4,3,2048,Semi Furnished,10+ years,119.29,118606.42
Gulmohar,4,3,1555,Semi Furnished,5-10 years,75.06,76662.51
Hoshangabad Road,1,1,757,Semi Furnished,1-5 years,42.0,34545.25
Ashoka garden,3,3,1467,Fully Furnished,New,61.85,55473.02
Sonagiri,4,3,1701,Semi Furnished,1-5 years,70.71,59722.01
Kolar Road,2,2,715,Semi Furnished,10+ years,48.08,48819.35
Hoshangabad Road,1,1,599,Unfurnished,New,31.12,35833.04
Minal,3,3,1234,Fully Furnished,10+ years,60.95,56532.5
Vijay nagar,2,2,1199,Unfurnished,5-10 years,54.93,46966.36
Ayodhya bypass,1,1,494,Unfurnished,5-10 years,31.56,27897.51
Minal,1,1,671,Unfurnished,5-10 years,43.53,37724.75
Vijay nagar,4,3,1891,Unfurnished,10+ years,104.13,87390.81
Indrapuri,3,3,1367,Fully Furnished,10+ years,91.45,81883.81
Kolar hills,2,2,1038,Fully Furnished,10+ years,56.12,63554.47
Kamla Nagar,5,4,2087,Semi Furnished,1-5 years,124.9,106083.36
ibrahimpura,2,2,925,Fully Furnished,10+ years,56.18,64135.49
Vikas Nagar,5,4,2352,Fully Furnished,New,122.44,110743.62
jahangirabad,4,3,1636,Fully Furnished,1-5 years,95.31,87587.63
Kolar hills,1,1,615,Unfurnished,1-5 years,25.01,29857.78
Shivaji Nagar,2,2,1011,Fully Furnished,1-5 years,53.71,62681.91
chuna bhatti,4,3,1727,Fully Furnished,New,106.9,122351.82
Tajul masjid,1,1,590,Unfurnished,10+ years,37.36,43996.56
Ratnagiri,2,2,820,Semi Furnished,10+ years,38.03,33375.11
Bawadiya Kalan,1,1,538,Fully Furnished,10+ years,22.76,19559.71
VIP road,4,3,1793,Unfurnished,5-10 years,92.65,98940.25
Shivaji Nagar,5,4,2976,Fully Furnished,10+ years,167.93,157935.09
Indrapuri,2,2,1003,Fully Furnished,10+ years,50.65,53338.82
Ashoka garden,3,3,1419,Semi Furnished,New,90.32,93248.03
Kamla Nagar,2,2,1027,Fully Furnished,1-5 years,58.84,68008.97
eidgah hills,4,3,1610,Unfurnished,5-10 years,68.33,65976.22
Kolar Road,5,4,2633,Fully Furnished,New,147.65,138139.44
Ayodhya nagar,4,3,1724,Fully Furnished,5-10 years,114.31,108937.55
Anand nagar,5,4,2537,Semi Furnished,New,157.42,182687.74
sultaniya road,1,1,475,Fully Furnished,5-10 years,21.08,24047.57
Shivaji Nagar,5,4,2628,Unfurnished,1-5 years,162.23,161565.49
Minal,4,3,1855,Semi Furnished,1-5 years,101.59,103702.55
Nizamuddin colony,5,4,2365,Semi Furnished,5-10 years,153.73,157842.68
char Imli,3,3,1174,Semi Furnished,5-10 years,79.15,80807.56
Bittan Market,3,3,1466,Fully Furnished,1-5 years,80.89,65778.23
char Imli,5,4,2328,Fully Furnished,5-10 years,119.07,115128.48
Kolar Road,5,4,2781,Unfurnished,1-5 years,148.9,121497.99
Chuna Bhatti,3,3,1215,Semi Furnished,10+ years,79.79,82720.19
Saket nagar,2,2,1085,Semi Furnished,1-5 years,67.39,65796.02
kohefiza,2,2,725,Unfurnished,5-10 years,34.36,30442.65
Barkheda,2,2,1184,Fully Furnished,1-5 years,48.04,45964.72
Hoshangabad Road,1,1,532,Fully Furnished,1-5 years,35.6,29169.47
Kolar hills,5,4,2622,Semi Furnished,10+ years,156.53,158637.35
Sonagiri,1,1,737,Semi Furnished,1-5 years,50.81,59907.71
sultaniya road,5,4,2276,Unfurnished,10+ years,122.09,110307.29
sultaniya road,4,3,1975,Semi Furnished,1-5 years,123.43,142957.3
Govindpura,4,3,2154,Fully Furnished,1-5 years,110.19,107650.4
Vikas Nagar,2,2,1012,Semi Furnished,1-5 years,52.71,55409.9
Govindpura,2,2,1167,Semi Furnished,New,59.84,62394.66
MP Nagar,1,1,467,Unfurnished,1-5 years,32.29,35851.76
Bawadiya Kalan,5,4,2671,Semi Furnished,New,126.51,130332.34
Narela,5,4,2019,Semi Furnished,5-10 years,131.6,126100.89
ibrahimpura,2,2,721,Unfurnished,New,31.8,32462.43
Arera Colony,3,3,1344,Fully Furnished,10+ years,59.92,57616.93
Bittan Market,4,3,1698,Semi Furnished,10+ years,109.69,117855.62
Misrod,4,3,1656,Fully Furnished,10+ years,106.03,114618.5
char Imli,1,1,764,Unfurnished,5-10 years,47.83,48327.01
Gandhi nagar,4,3,2007,Fully Furnished,1-5 years,91.61,87090.07
Narela,4,3,1764,Fully Furnished,5-10 years,75.87,73177.49
Habibganj,1,1,560,Unfurnished,New,22.98,22614.29
Kolar Road,2,2,951,Semi Furnished,1-5 years,48.31,51445.03
Kolar hills,5,4,2991,Unfurnished,New,133.5,109376.35
Prabhat petrol pump,4,3,2106,Unfurnished,5-10 years,105.93,125195.81
Barkheda,3,3,1395,Semi Furnished,10+ years,65.21,68603.92
Nizamuddin colony,1,1,474,Fully Furnished,10+ years,30.99,30977.87
Sonagiri,5,4,2357,Semi Furnished,10+ years,123.19,135224.51
kohefiza,3,3,1263,Fully Furnished,5-10 years,67.01,70300.84
Chuna Bhatti,1,1,634,Unfurnished,1-5 years,29.79,29900.9
Vijay nagar,4,3,1759,Fully Furnished,New,87.98,97899.33
VIP road,2,2,1160,Fully Furnished,10+ years,55.14,63293.16
Prabhat petrol pump,1,1,481,Unfurnished,1-5 years,19.45,21352.12
Minal,1,1,771,Semi Furnished,10+ years,45.31,48371.47
Shivaji Nagar,1,1,426,Unfurnished,10+ years,20.09,21717.85
Shyamla Hills,3,3,1244,Semi Furnished,1-5 years,83.37,70043.51
Arjun Nagar,5,4,2158,Unfurnished,1-5 years,148.28,119817.93
Chuna Bhatti,5,4,2687,Semi Furnished,5-10 years,180.44,169538.94
